CONTRACT_NUMBER,EXECUTIVE_DATE,GENDER,AGE,TOTAL_PAID_INST_MAX,DAYS_PAYMENT_DELAY_MAX,REMAIN_AMT_PCT,INTEREST_RATE_MIN,NUMBEROFREQUESTED,NUMBEROFREFUSED,NUMBEROFTERMINATED,NUMBEROFLIVING,WORSTRECENTSTATUS,NUMBER_TCTD_GR,NB_6_VER2,REMAIN_AMT_PCT_CARDS,REMAINING_AMOUNT_CARDS,MAXNROFDAYSOFPAYMENTDELAY_CARDS,STATUS1_CONS_6M_CARDS,STATUS1_CONS_36M_CARDS,DEFAULT_CONS_3M_CARDS,DEFAULT_CONS_36M_CARDS,STATUS1_CONS_36M_INSTALLMENT,DEFAULT_CONS_18M_INSTALLMENT,NO_MONTH_MAX_DEFAULT_MIN,MAX_LV_DEFAULT_MIN,NEXT_DUE_AMT_MIN,DATE_WORST_TO_ST_AVG,RMN_NO_MIN,GUA_AMT_SUM,NOTES,SCORE,EVENT_DATE
3001385839,2022-06-17 14:06:35.300000,-999,31,36.0,58,0.017483627523901094,0.49029666295079366,2.0,1.0,4.0,1.0,1.0,3,0,-999,-999,-999,-999,-999,-999,-999,45,2,1,0,0.0,8.4,0.0,0,HITPCB,506.0,2022-07-19 13:43:20.398805
2003243946,2020-03-24 18:16:10.153000,-999,54,13.0,7,0.09706460729592675,0.5260344460778628,1.0,0.0,162.0,11.0,1.0,2,1,-999,-999,-999,-999,-999,-999,-999,695,3,1,0,0.0,30.786127167630056,0.0,0,HITPCB,534.0,2022-07-19 13:51:27.562949
2003243946,2020-03-24 18:16:10.153000,-999,54,13.0,7,0.09706460729592675,0.5260344460778628,1.0,0.0,162.0,11.0,1.0,2,1,-999,-999,-999,-999,-999,-999,-999,695,3,1,0,0.0,30.786127167630056,0.0,0,HITPCB,534.0,2022-07-19 13:52:57.343576
2003243946,2020-03-24 18:16:10.153000,-999,54,13.0,7,0.09706460729592675,0.5260344460778628,1.0,0.0,162.0,11.0,1.0,2,1,-999,-999,-999,-999,-999,-999,-999,695,3,1,0,0.0,30.786127167630056,0.0,0,HITPCB,534.0,2022-07-19 13:54:07.119438
2003243946,2020-03-24 18:16:10.153000,-999,54,13.0,7,0.09706460729592675,0.5260344460778628,1.0,0.0,162.0,11.0,1.0,2,1,-999,-999,-999,-999,-999,-999,-999,695,3,1,0,0.0,30.786127167630056,0.0,0,HITPCB,534.0,2022-07-19 13:55:42.381069
2003243946,2020-03-24 18:16:10.153000,-999,54,13.0,7,0.09706460729592675,0.5260344460778628,1.0,0.0,162.0,11.0,1.0,2,1,-999,-999,-999,-999,-999,-999,-999,695,3,1,0,0.0,30.786127167630056,0.0,0,HITPCB,534.0,2022-07-19 14:03:46.838691
2003243946,2020-03-24 18:16:10.153000,-999,54,13.0,7,0.09706460729592675,0.5260344460778628,1.0,0.0,162.0,11.0,1.0,2,1,-999,-999,-999,-999,-999,-999,-999,695,3,1,0,0.0,30.786127167630056,0.0,0,HITPCB,534.0,2022-07-19 14:04:50.913873
2003243946,2020-03-24 18:16:10.153000,-999,54,13.0,7,0.09706460729592675,0.5260344460778628,1.0,0.0,162.0,11.0,1.0,2,1,-999,-999,-999,-999,-999,-999,-999,695,3,1,0,0.0,30.786127167630056,0.0,0,HITPCB,534.0,2022-07-19 14:05:30.526220
2003243946,2020-03-24 18:16:10.153000,-999,54,13.0,7,0.09706460729592675,0.5260344460778628,1.0,0.0,162.0,11.0,1.0,2,1,-999,-999,-999,-999,-999,-999,-999,695,3,1,0,0.0,30.786127167630056,0.0,0,HITPCB,534.0,2022-07-19 14:08:41.060740
2003243946,2020-03-24 18:16:10.153000,-999,54,13.0,7,0.09706460729592675,0.5260344460778628,1.0,0.0,162.0,11.0,1.0,2,1,-999,-999,-999,-999,-999,-999,-999,695,3,1,0,0.0,30.786127167630056,0.0,0,HITPCB,534.0,2022-07-19 14:35:26.910800
2003243946,2020-03-24 18:16:10.153000,-999,54,13.0,7,0.09706460729592675,0.5260344460778628,1.0,0.0,162.0,11.0,1.0,2,1,-999,-999,-999,-999,-999,-999,-999,695,3,1,0,0.0,30.786127167630056,0.0,0,HITPCB,534.0,2022-07-19 14:35:55.579426
